,Name,Type,ABV,Ratings,Average,-
0,Jelen Fresh Crvena Ribizla I Limeta,Fruit and Field Beer,2,4,2.02,-
1,Jelen Fresh Grejpfrut,Fruit and Field Beer,2,9,2.28,-
2,Jelen Fresh Limun,Fruit and Field Beer,2,9,2.28,-
3,Jelen Fresh Zova,Fruit and Field Beer,2,1,3.29,-
4,Jelen Nefiltrirano,Lager - European Pale,5.2,1,1.99,-
5,Jelen Pivo,Lager - European Pale,4.6,126,2.71,-
6,Jelen Strong,Lager - European Strong,7.3,5,2.36,-
7,Löwenbräu Original,Lager - European Pale,4.5,1,2.02,-
8,Staropramen Selection,Lager - American Amber / Red,4.8,7,2.44,-
