,Name,Type,ABV,Ratings,Average,-
0,Nikšićko Cool Limun,Fruit and Field Beer,2,1,2.09,-
1,Nikšićko Gold,Lager - Adjunct,5.2,25,2.93,-
2,Nikšićko IPA,IPA - American,4.5,3,3.1,-
3,Nikšićko Pivo,Lager - European Pale,5.2,121,2.9,-
4,Nikšićko Pivo Nefiltrirano,Lager - Kellerbier / Zwickelbier,5.4,5,3.41,-
5,Nikšićko Tamno,Lager - Schwarzbier,6.2,40,3.23,-
6,Onogost 1896,Lager - European Pale,4.6,3,3.23,-
