,Name,Type,ABV,Ratings,Average,-
0,Bergenbier,Lager - European Pale,5,31,2.38,-
1,Bergenbier Ale,Pale Ale - Belgian,5.5,9,2.7,-
2,Bergenbier Fara Alcool,Low Alcohol Beer,0,3,2.35,-
3,Bergenbier Fresh Grapefruit,Fruit and Field Beer,1.9,3,2.65,-
4,Bergenbier Fresh Lemon,Fruit and Field Beer,1.9,2,2.62,-
5,Bergenbier Fresh Soc,Herb and Spice Beer,1.9,3,2.52,-
6,Noroc,Lager - European Pale,4.5,8,2.05,-
7,Staropramen,Lager - European Pale,5,9,2.73,-
