"Retail trade sales by province and territory (x 1,000)" c 1 2 3 4 5
"Monthly"
"Table: 20-10-0008-01 (formerly CANSIM 080-0020)"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"

"","Canada","Newfoundland and Labrador","Prince Edward Island","Nova Scotia","New Brunswick","Quebec","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia","Yukon","Northwest Territories","Nunavut"
"","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]","Retail trade  [44-45]"
"Reference period","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted"
"","Dollars",,,,,,,,,,,,,
"May 1991","17,225,734","322,427","69,190","563,742","443,284","4,391,319","6,438,414","575,199","479,351","1,655,045","2,241,097","16,923","29,740",".."
"June 1991","16,342,833","301,447","69,959","525,599","428,576","4,004,807","6,192,334","544,035","468,012","1,629,610","2,129,872","17,155","31,427",".."
"July 1991","15,996,243","302,461","73,047","525,585","417,585","3,925,871","5,975,977","520,922","450,813","1,562,336","2,192,696","17,930","31,019",".."
"August 1991","16,064,910","314,501","72,708","546,106","421,101","3,929,548","5,923,311","546,196","467,290","1,592,641","2,203,975","17,611","29,921",".."
"September 1991","15,015,317","276,306","60,832","485,807","373,827","3,620,490","5,652,752","506,433","433,774","1,515,932","2,047,320","15,382","26,460",".."
"October 1991","15,606,864","285,368","62,117","498,198","392,861","3,821,082","5,878,191","523,313","457,580","1,542,426","2,102,247","15,096","28,385",".."
"November 1991","16,237,366","317,937","65,940","536,364","419,661","3,840,819","6,219,496","550,728","485,866","1,598,009","2,157,220","14,834","30,493",".."
"December 1991","18,381,340","361,047","75,921","605,833","463,022","4,194,372","7,043,772","628,559","533,421","1,858,113","2,566,051","16,527","34,701",".."
"January 1992","13,084,963","236,584","51,773","449,326","335,201","3,009,087","4,983,580","438,774","396,956","1,349,351","1,795,633","13,428","25,269",".."
"February 1992","12,773,972","239,190","49,109","409,130","327,510","2,979,444","4,868,537","429,694","370,416","1,287,162","1,774,446","12,931","26,404",".."
"March 1992","14,198,775","257,252","54,050","478,270","366,781","3,401,164","5,256,488","468,208","415,113","1,462,274","1,995,394","14,869","28,912",".."
"April 1992","15,558,390","274,591","61,877","525,852","398,147","3,912,043","5,786,122","500,612","449,849","1,539,472","2,063,409","15,541","30,875",".."
"May 1992","16,776,396","294,174","69,020","564,839","430,917","4,220,149","6,273,546","568,481","477,969","1,636,293","2,191,626","16,919","32,464",".."
"June 1992","16,716,231","297,787","73,629","575,028","436,103","4,081,365","6,295,672","544,610","475,989","1,662,246","2,218,848","19,530","35,425",".."
"July 1992","16,637,483","306,381","80,401","571,939","439,995","3,966,889","6,249,384","552,105","465,342","1,635,014","2,312,238","20,505","37,290",".."
"August 1992","15,842,075","295,146","75,855","544,399","426,321","3,722,677","5,878,184","530,164","451,021","1,618,470","2,245,589","20,245","34,003",".."
"September 1992","15,812,400","285,747","68,548","515,449","424,090","3,716,954","5,971,772","516,683","433,232","1,584,527","2,246,545","17,520","31,335",".."
"October 1992","16,562,268","296,477","69,422","557,835","430,819","3,978,121","6,226,551","550,573","469,193","1,644,186","2,288,477","17,330","33,285",".."
"November 1992","16,015,869","302,827","68,352","539,284","420,808","3,664,411","6,127,434","540,591","458,919","1,604,004","2,240,519","17,279","31,440",".."
"December 1992","19,682,921","368,820","82,346","657,617","503,874","4,349,736","7,572,424","686,696","572,823","2,010,812","2,821,660","19,018","37,095",".."
"January 1993","13,672,727","231,094","53,273","447,305","344,144","3,146,167","5,170,128","462,952","408,386","1,424,910","1,944,662","13,394","26,312",".."
"February 1993","12,900,733","216,140","53,427","419,252","324,981","2,987,205","4,817,302","432,058","377,983","1,315,946","1,917,046","13,713","25,682",".."
"March 1993","15,211,859","255,326","57,401","488,539","383,267","3,565,589","5,699,183","503,009","446,414","1,517,378","2,250,922","15,030","29,800",".."
